,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
22,FC Schalke 04,58227000,49250000,44712000,59469000,41678000,69974000,48630000,62520000,-,-17950000,4200000,20100000,16500000,-42200000,-16050000,-8350000,3600000,-,76177000,45050000,24612000,42969000,83878000,86024000,56980000,58920000,-,3,6,5,10,2,14,12,18,-
23,Bayer Leverkusen,39065000,32093000,31732000,50007000,56837000,62107000,47820000,56200000,46570000,13240000,-18710000,5250000,-28400000,33900000,13500000,-62500000,49300000,-12550000,25825000,50803000,26482000,78407000,22937000,48607000,110320000,6900000,59120000,4,4,3,12,5,4,5,6,3
24,VfL Wolfsburg,53948000,57256000,56527000,77913000,58206000,65598000,66870000,57870000,49020000,-34550000,-38800000,43200000,13400000,-37750000,-35200000,-23500000,-10900000,-59830000,88498000,96056000,13327000,64513000,95956000,100798000,90370000,68770000,108850000,5,2,8,16,16,6,7,4,12
25,Bor. Mönchengladbach,25695000,26673000,30026000,36732000,44677000,45358000,54050000,49480000,43990000,-4650000,5150000,-22300000,6850000,-6170000,400000,-1400000,-13500000,-10300000,30345000,21523000,52326000,29882000,50847000,44958000,55450000,62980000,54290000,6,3,4,9,9,5,4,8,10
26,1. FSV Mainz 05,19976000,17896000,14725000,21750000,17819000,21445000,26250000,23180000,17030000,-2650000,-2520000,20350000,-3510000,8300000,25600000,-3050000,11700000,11150000,22626000,20416000,-5625000,25260000,9519000,-4155000,29300000,11480000,5880000,7,11,6,15,14,12,13,12,8
27,FC Augsburg,13868000,12361000,13645000,17765000,16563000,23896000,27880000,22920000,24000000,-3950000,-5550000,4200000,-7150000,50000,-3800000,-11700000,-1700000,-11260000,17818000,17911000,9445000,24915000,16513000,27696000,39580000,24620000,35260000,8,5,12,13,12,15,15,13,14
28,1899 Hoffenheim,24677000,26237000,27147000,29765000,38805000,37894000,47650000,42870000,37750000,-5900000,-4780000,33750000,7560000,31050000,-26080000,67350000,10800000,850000,30577000,31017000,-6603000,22205000,7755000,63974000,-19700000,32070000,36900000,9,8,15,4,3,9,6,11,9
29,Hannover 96,28070000,23869000,21538000,-,26476000,31890000,-,-,-,-5800000,-7300000,-4900000,-,-18750000,-4980000,-,-,-,33870000,31169000,26438000,-,45226000,36870000,-,-,-,10,13,18,-,13,17,-,-,-
30,Hertha BSC,17371000,18703000,22252000,20881000,25507000,31289000,50470000,41340000,30360000,-950000,4950000,-2380000,-1700000,4000000,5400000,-86250000,-23450000,27100000,18321000,13753000,24632000,22581000,21507000,25889000,136720000,64790000,3260000,11,15,7,6,10,11,10,14,16
31,Werder Bremen,27964000,21028000,19162000,29432000,27264000,35154000,42540000,29900000,-,3350000,-3200000,6570000,3500000,-8600000,1050000,-15450000,0,-,24614000,24228000,12592000,25932000,35864000,34104000,57990000,29900000,-,12,10,13,8,11,8,16,17,-
