,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
92,Montpellier HSC,12987000,12787000,12994000,16801000,12006000,13231000,17210000,15810000,11900000,12000000,11900000,1270000,10000000,15100000,15950000,19700000,-13100000,24800000,987000,887000,11724000,6801000,-3094000,-2719000,-2490000,28910000,-12900000,15,7,12,15,10,6,8,8,13
93,EA Guingamp,6719000,11664000,8021000,9675000,9212000,16437000,-,-,-,6300000,100000,4050000,2500000,70000,500000,-,-,-,419000,11564000,3971000,7175000,9142000,15937000,-,-,-,16,10,16,10,12,20,-,-,-
94,OGC Nice,11167000,9313000,9975000,18421000,21810000,30085000,24630000,23360000,27780000,0,6100000,9900000,550000,1200000,33700000,-29900000,-7730000,-27800000,11167000,3213000,75000,17871000,20610000,-3615000,54530000,31090000,55580000,17,11,4,3,8,7,5,9,5
95,FC Sochaux,13354000,-,-,-,-,-,-,-,-,-650000,-,-,-,-,-,-,-,-,14004000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
96,Valenciennes FC,8650000,-,-,-,-,-,-,-,-,4800000,-,-,-,-,-,-,-,-,3850000,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-
97,AC Ajaccio,9201000,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,9201000,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
98,Leicester City,-,39433240,43516040,75167180,75646260,94282000,86765400,91480680,85915800,-,-24272600,-42952000,-27128200,-42421000,-17841600,-26632600,-4484000,-67543200,-,63705840,86468040,102295380,118067260,112123600,113398000,95964680,153459000,-,14,1,12,9,9,5,5,8
99,Burnley FC,-,18385580,-,28808520,38417260,52230340,52474600,43366180,43565600,-,-13404800,-,-47152800,15139400,-26550000,-6206800,-1168200,-7009200,-,31790380,-,75961320,23277860,78780340,58681400,44534380,50574800,-,19,-,16,7,15,10,17,18
100,Queens Park Rangers,-,53218000,-,-,-,-,-,-,-,-,-18502400,-,-,-,-,-,-,-,-,71720400,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
101,1. FC Köln,-,11875000,12393000,20264000,29257000,-,38930000,29970000,25640000,-,-8300000,-1730000,10650000,-32550000,-,-11150000,-3500000,22900000,-,20175000,14123000,9614000,61807000,-,50080000,33470000,2740000,-,12,9,5,18,-,14,16,7
102,SC Paderborn 07,-,7612000,-,-,-,-,7010000,-,-,-,-1950000,-,-,-,-,5200000,-,-,-,9562000,-,-,-,-,1810000,-,-,-,18,-,-,-,-,18,-,-
103,Deportivo La Coruña,-,10585000,13647000,29985000,21059000,-,-,-,-,-,-200000,-8000000,7700000,-4000000,-,-,-,-,-,10785000,21647000,22285000,25059000,-,-,-,-,-,16,15,16,18,-,-,-,-
104,SD Eibar,-,7283000,13135000,17642000,18098000,20083000,18480000,18640000,-,-,438000,-3500000,-3600000,3050000,-250000,9900000,-1850000,-,-,6845000,16635000,21242000,15048000,20333000,8580000,20490000,-,-,18,14,10,9,12,14,20,-
105,Córdoba CF,-,8530000,-,-,-,-,-,-,-,-,-500000,-,-,-,-,-,-,-,-,9030000,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-
106,US Palermo,-,15638000,17198000,16064000,-,-,-,-,-,-,-2700000,39450000,20950000,-,-,-,-,-,-,18338000,-22252000,-4886000,-,-,-,-,-,-,11,16,19,-,-,-,-,-
107,Empoli FC,-,7310000,8989000,14819000,-,19656000,-,-,32300000,-,-3350000,5900000,8900000,-,14000000,-,-,16100000,-,10660000,3089000,5919000,-,5656000,-,-,16200000,-,15,10,18,-,18,-,-,14
108,AC Cesena,-,8121000,-,-,-,-,-,-,-,-,-450000,-,-,-,-,-,-,-,-,8571000,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-
109,SM Caen,-,5180000,10537000,11579000,10459000,12424000,-,-,-,-,-800000,7950000,6750000,-950000,-1250000,-,-,-,-,5980000,2587000,4829000,11409000,13674000,-,-,-,-,13,7,17,16,19,-,-,-
110,FC Metz,-,7997000,-,8802000,13202000,-,11020000,9560000,9650000,-,1800000,-,375000,20100000,-,-11750000,-4700000,19000000,-,6197000,-,8427000,-6898000,-,22770000,14260000,-9350000,-,19,-,14,20,-,15,10,19
111,RC Lens,-,4590000,-,-,-,-,-,8500000,9530000,-,3000000,-,-,-,-,-,-19000000,-2600000,-,1590000,-,-,-,-,-,27500000,12130000,-,20,-,-,-,-,-,7,7
112,Watford FC,-,-,34242420,49557640,54841680,58289640,68050600,-,45725000,-,-,-78352000,-12590600,-58044200,22762200,-24426000,-,-32544400,-,-,112594420,62148240,112885880,35527440,92476600,-,78269400,-,-,13,17,14,11,19,-,19
113,AFC Bournemouth,-,-,31214540,42084700,50811980,62174200,49973000,-,-,-,-,-57837700,-16142400,-36426600,-69985800,-23316800,-,-,-,-,89052240,58227100,87238580,132160000,73289800,-,-,-,-,16,9,12,14,18,-,-
114,FC Ingolstadt 04,-,-,8425000,11646000,-,-,-,-,-,-,-,-6200000,-3400000,-,-,-,-,-,-,-,14625000,15046000,-,-,-,-,-,-,-,11,17,-,-,-,-,-
115,SV Darmstadt 98,-,-,8077000,14900000,-,-,-,-,-,-,-,-1100000,1100000,-,-,-,-,-,-,-,9177000,13800000,-,-,-,-,-,-,-,14,18,-,-,-,-,-
116,UD Las Palmas,-,-,7843000,14346000,19704000,-,-,-,-,-,-,-4400000,-2700000,24850000,-,-,-,-,-,-,12243000,17046000,-5146000,-,-,-,-,-,-,11,14,19,-,-,-,-
117,Sporting Gijón,-,-,6354000,14032000,-,-,-,-,-,-,-,0,-1000000,-,-,-,-,-,-,-,6354000,15032000,-,-,-,-,-,-,-,17,18,-,-,-,-,-
118,Carpi FC,-,-,12060000,-,-,-,-,-,-,-,-,-75000,-,-,-,-,-,-,-,-,12135000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-
119,Frosinone Calcio,-,-,6048000,-,-,22501000,-,-,-,-,-,-400000,-,-,-6400000,-,-,-,-,-,6448000,-,-,28901000,-,-,-,-,-,19,-,-,19,-,-,-
120,Angers SCO,-,-,7531000,9884000,10130000,15592000,13070000,14240000,10150000,-,-,5900000,-800000,5600000,17350000,23600000,-300000,17600000,-,-,1631000,10684000,4530000,-1758000,-10530000,14540000,-7450000,-,-,9,12,14,13,11,13,14
121,GFC Ajaccio,-,-,6163000,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,6163000,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-
122,ESTAC Troyes,-,-,8978000,-,6870000,-,-,-,6610000,-,-,7000000,-,0,-,-,-,-20800000,-,-,1978000,-,6870000,-,-,-,27410000,-,-,20,-,19,-,-,-,15
123,Middlesbrough FC,-,-,-,45864240,-,-,-,-,-,-,-,-,-36591800,-,-,-,-,-,-,-,-,82456040,-,-,-,-,-,-,-,-,19,-,-,-,-,-
124,RB Leipzig,-,-,-,26988000,42405000,54729000,70740000,53870000,48640000,-,-,-,-72600000,-37210000,7120000,-25500000,3500000,5880000,-,-,-,99588000,79615000,47609000,96240000,50370000,42760000,-,-,-,2,6,3,3,2,4
125,CD Alavés,-,-,-,12933000,15692000,22615000,24365000,23410000,21980000,-,-,-,-6330000,-3770000,-17820000,10430000,4400000,2350000,-,-,-,19263000,19462000,40435000,13935000,19010000,19630000,-,-,-,9,14,11,16,16,20
126,CD Leganés,-,-,-,-,-,-,35320000,-,-,-,-,-,-3350000,-5970000,-19480000,1570000,-,-,-,-,-,3350000,5970000,19480000,33750000,-,-,-,-,-,17,17,13,18,-,-
127,FC Crotone,-,-,-,8741000,10306000,-,-,18990000,-,-,-,-,1850000,-2850000,-,-,-6200000,-,-,-,-,6891000,13156000,-,-,25190000,-,-,-,-,17,18,-,-,19,-
128,Pescara Calcio,-,-,-,14873000,-,-,-,-,-,-,-,-,8210000,-,-,-,-,-,-,-,-,6663000,-,-,-,-,-,-,-,-,20,-,-,-,-,-
129,Dijon FCO,-,-,-,8418000,11005000,12370000,10440000,10670000,-,-,-,-,-1900000,11500000,-5200000,17200000,1200000,-,-,-,-,10318000,-495000,17570000,-6760000,9470000,-,-,-,-,16,11,18,16,20,-
130,AS Nancy,-,-,-,7274000,-,-,-,-,-,-,-,-,8600000,-,-,-,-,-,-,-,-,-1326000,-,-,-,-,-,-,-,-,19,-,-,-,-,-
131,Brighton & Hove Albion,-,-,-,-,47092620,50528780,57489600,60863220,47530400,-,-,-,-,-69667200,-74871000,-79178000,-8389800,2655000,-,-,-,-,116759820,125399780,136667600,69253020,44875400,-,-,-,-,15,17,15,16,9
132,Huddersfield Town,-,-,-,-,30216260,41435700,-,-,-,-,-,-,-,-54055800,-40745400,-,-,-,-,-,-,-,84272060,82181100,-,-,-,-,-,-,-,16,20,-,-,-
133,Girona FC,-,-,-,-,13554000,18584000,-,-,-,-,-,-,-,-8750000,-6900000,-,-,-,-,-,-,-,22304000,25484000,-,-,-,-,-,-,-,10,18,-,-,-
134,SPAL 2013 Ferrara,-,-,-,-,19733000,24471000,30940000,-,-,-,-,-,-,-7500000,-21650000,9050000,-,-,-,-,-,-,27233000,46121000,21890000,-,-,-,-,-,-,17,13,20,-,-
135,Benevento Calcio,-,-,-,-,17724000,-,-,32410000,-,-,-,-,-,-18750000,-,-,-10800000,-,-,-,-,-,36474000,-,-,43210000,-,-,-,-,-,20,-,-,18,-
136,Amiens SC,-,-,-,-,12330000,11335000,13860000,-,-,-,-,-,-,1370000,3860000,-12710000,-,-,-,-,-,-,10960000,7475000,26570000,-,-,-,-,-,-,13,15,19,-,-
137,RC Strasbourg,-,-,-,-,10804000,13683000,13030000,14020000,12980000,-,-,-,-,-1900000,-1750000,10500000,-11500000,11500000,-,-,-,-,12704000,15433000,2530000,25520000,1480000,-,-,-,-,15,11,10,15,6
138,Wolverhampton Wanderers,-,-,-,-,-,43880660,63873400,60786520,61655000,-,-,-,-,-,-95792400,-99934200,-3823200,-106200,-,-,-,-,-,139673060,163807600,64609720,61761200,-,-,-,-,-,7,7,13,10
139,Fortuna Düsseldorf,-,-,-,-,-,15153000,21950000,-,-,-,-,-,-,-,-5850000,-4200000,-,-,-,-,-,-,-,21003000,26150000,-,-,-,-,-,-,-,10,17,-,-
140,SD Huesca,-,-,-,-,-,15437000,-,17210000,-,-,-,-,-,-,-6600000,-,-4250000,-,-,-,-,-,-,22037000,-,21460000,-,-,-,-,-,-,19,-,18,-
141,Nîmes Olympique,-,-,-,-,-,8906000,8010000,8300000,-,-,-,-,-,-,-3000000,9900000,-10750000,-,-,-,-,-,-,11906000,-1890000,19050000,-,-,-,-,-,-,9,18,19,-
142,Sheffield United,-,-,-,-,-,-,28532400,23702660,-,-,-,-,-,-,-,-73065600,-66587400,-,-,-,-,-,-,-,101598000,90290060,-,-,-,-,-,-,-,9,20,-
143,1. FC Union Berlin,-,-,-,-,-,-,21400000,17300000,18000000,-,-,-,-,-,-,-6150000,4870000,2000000,-,-,-,-,-,-,27550000,12430000,16000000,-,-,-,-,-,-,11,7,5
144,RCD Mallorca,-,-,-,-,-,-,12520000,-,19240000,-,-,-,-,-,-7000000,-7500000,-,-2000000,-,-,-,-,-,7000000,20020000,-,21240000,-,-,-,-,-,-,19,-,16
145,US Lecce,-,-,-,-,-,-,32320000,-,-,-,-,-,-,-,-,-7450000,-,-,-,-,-,-,-,-,39770000,-,-,-,-,-,-,-,-,18,-,-
146,Brescia Calcio,-,-,-,-,-,-,16190000,-,-,-,-,-,-,-,-,-18550000,-,-,-,-,-,-,-,-,34740000,-,-,-,-,-,-,-,-,19,-,-
147,Stade Brest,-,-,-,-,-,-,7740000,10030000,9420000,-,-,-,-,-,-,-7000000,-1100000,18700000,-,-,-,-,-,-,14740000,11130000,-9280000,-,-,-,-,-,-,14,17,11
148,Leeds United,-,-,-,-,-,-,-,28539480,28095800,-,-,-,-,-,-,-,-113398000,-62551800,-,-,-,-,-,-,-,141937480,90647600,-,-,-,-,-,-,-,9,17
149,Arminia Bielefeld,-,-,-,-,-,-,-,9590000,9880000,-,-,-,-,-,-,-,-400000,-9300000,-,-,-,-,-,-,-,9990000,19180000,-,-,-,-,-,-,-,15,17
150,Cádiz CF,-,-,-,-,-,-,-,19410000,18150000,-,-,-,-,-,-,-,-10200000,-6800000,-,-,-,-,-,-,-,29610000,24950000,-,-,-,-,-,-,-,12,17
151,Spezia Calcio,-,-,-,-,-,-,-,20120000,16560000,-,-,-,-,-,-,-,-3760000,-17800000,-,-,-,-,-,-,-,23880000,34360000,-,-,-,-,-,-,-,15,16
152,Brentford FC,-,-,-,-,-,-,-,-,21617600,-,-,-,-,-,-,-,-,-39506400,-,-,-,-,-,-,-,-,61124000,-,-,-,-,-,-,-,-,13
153,VfL Bochum,-,-,-,-,-,-,-,-,12260000,-,-,-,-,-,-,-,-,350000,-,-,-,-,-,-,-,-,11910000,-,-,-,-,-,-,-,-,13
154,SpVgg Greuther Fürth,-,-,-,-,-,-,-,-,10050000,-,-,-,-,-,-,-,-,2150000,-,-,-,-,-,-,-,-,7900000,-,-,-,-,-,-,-,-,18
155,US Salernitana 1919,-,-,-,-,-,-,-,-,20010000,-,-,-,-,-,-,-,-,-13850000,-,-,-,-,-,-,-,-,33860000,-,-,-,-,-,-,-,-,17
156,Venezia FC,-,-,-,-,-,-,-,-,19840000,-,-,-,-,-,-,-,-,-21890000,-,-,-,-,-,-,-,-,41730000,-,-,-,-,-,-,-,-,20
157,Clermont Foot,-,-,-,-,-,-,-,-,4550000,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,4550000,-,-,-,-,-,-,-,-,17
