,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
23,Angers SCO,-,-,7531000,9884000,10130000,15592000,13070000,14240000,10150000,-,-,5900000,-800000,5600000,17350000,23600000,-300000,17600000,-,-,1631000,10684000,4530000,-1758000,-10530000,14540000,-7450000,-,-,9,12,14,13,11,13,14
24,GFC Ajaccio,-,-,6163000,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,6163000,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-
25,ESTAC Troyes,-,-,8978000,-,6870000,-,-,-,6610000,-,-,7000000,-,0,-,-,-,-20800000,-,-,1978000,-,6870000,-,-,-,27410000,-,-,20,-,19,-,-,-,15
26,Dijon FCO,-,-,-,8418000,11005000,12370000,10440000,10670000,-,-,-,-,-1900000,11500000,-5200000,17200000,1200000,-,-,-,-,10318000,-495000,17570000,-6760000,9470000,-,-,-,-,16,11,18,16,20,-
27,AS Nancy,-,-,-,7274000,-,-,-,-,-,-,-,-,8600000,-,-,-,-,-,-,-,-,-1326000,-,-,-,-,-,-,-,-,19,-,-,-,-,-
28,Amiens SC,-,-,-,-,12330000,11335000,13860000,-,-,-,-,-,-,1370000,3860000,-12710000,-,-,-,-,-,-,10960000,7475000,26570000,-,-,-,-,-,-,13,15,19,-,-
29,RC Strasbourg,-,-,-,-,10804000,13683000,13030000,14020000,12980000,-,-,-,-,-1900000,-1750000,10500000,-11500000,11500000,-,-,-,-,12704000,15433000,2530000,25520000,1480000,-,-,-,-,15,11,10,15,6
30,Nîmes Olympique,-,-,-,-,-,8906000,8010000,8300000,-,-,-,-,-,-,-3000000,9900000,-10750000,-,-,-,-,-,-,11906000,-1890000,19050000,-,-,-,-,-,-,9,18,19,-
31,Stade Brest,-,-,-,-,-,-,7740000,10030000,9420000,-,-,-,-,-,-,-7000000,-1100000,18700000,-,-,-,-,-,-,14740000,11130000,-9280000,-,-,-,-,-,-,14,17,11
32,Clermont Foot,-,-,-,-,-,-,-,-,4550000,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,4550000,-,-,-,-,-,-,-,-,17
